word,freq
crime,63084
horse,62923
ground,62860
american,62835
count,62763
area,62755
charge,62746
honor,62722
lunch,62582
miles,62523
radio,62502
idiot,62357
ball,62325
surprise,62170
paper,62166
key,62153
boat,62148
quickly,62072
gold,61935
bar,61927
fish,61813
mark,61805
tom,61785
wearing,61749
crying,61698
accident,61671
government,61646
eight,61400
fell,61371
cover,61052
certain,61050
interested,61029
deep,60938
star,60903
sea,60812
agree,60716
problems,60633
detective,60633
prison,60581
major,60560
stick,60548
offer,60444
difficult,60404
smart,60397
personal,60381
record,60360
stopped,60200
hide,60133
whether,59993
bank,59962
trip,59906
relax,59715
america,59703
public,59687
list,59557
afternoon,59466
brain,59464
fix,59349
bastard,59332
proud,59309
tea,59277
service,59277
screaming,59151
forward,59064
angry,58748
park,58713
soul,58677
fighting,58657
peter,58654
rich,58651
agent,58608
blow,58531
paul,58529
dress,58429
mary,58366
missed,58324
scene,58017
killing,57890
standing,57866
saved,57667
respect,57647
killer,57555
ice,57545
mess,57542
tough,57486
feels,57388
church,57254
sad,57179
cell,57033
drunk,56919
share,56854
camera,56757
within,56709
card,56659
fly,56595
ben,56502
girlfriend,56475
laugh,56460
smell,56399
broken,56391
mum,56281
honest,56234
often,55998
starting,55979
calls,55940
spent,55836
third,55750
english,55677
visit,55638
mama,55372
judge,55336
window,55285
hungry,55259
dare,55131
relationship,55128
moved,55096
prove,55079
private,54978
wall,54813
seat,54615
position,54449
lieutenant,54321
realize,54306
especially,54148
machine,54140
walking,54115
art,54096
pleasure,54085
bloody,54026
college,53933
french,53911
involved,53718
cry,53674
became,53603
lived,53550
impossible,53527
obviously,53527
neither,53452
accept,53291
boyfriend,53124
besides,53110
queen,53006
teacher,53004
cops,52981
sake,52827
loves,52751
carry,52734
teach,52731
apartment,52714
upset,52565
green,52557
liked,52485
cute,52240
evil,52175
professor,52026
contact,51750
joke,51728
cop,51701
huge,51581
holy,51499
store,51492
jail,51429
likes,51334
lawyer,51332
doubt,51287
continue,51279
appreciate,51258
cat,51175
shop,50976
driving,50866
congratulations,50847
wrote,50800
village,50792
quit,50649
field,50617
james,50562
wine,50522
decision,50446
south,50364
sleeping,50357
slow,50276
laughter,50196
island,50107
glass,50103
beginning,50069
cash,49976
dying,49963
hundred,49823
whose,49808
difference,49743
plane,49704
push,49690
continues,49684
mmm,49655
singing,49144
eating,49119
north,49107
mrs,49087
tree,49017
madam,48931
gift,48891
truck,48807
putting,48797
bear,48674
board,48666
grab,48653
beer,48641
stuck,48497
magic,48484
support,48351
rules,48345
grunts,48253
partner,48247
reach,48221
wind,48063
colonel,48036
max,47938
immediately,47938
seconds,47936
thousand,47934
gives,47900
experience,47824
cheers,47819
victim,47739
upon,47699
computer,47672
christ,47650
planet,47564
promised,47559
bus,47534
henry,47491
dirty,47462
search,47439
staying,47241
dreams,47210
arrest,46994
holding,46938
suddenly,46833
usually,46770
lots,46570
shoes,46490
jump,46358
rid,46242
knock,46228
owe,46153
harry,46028
grow,46010
worst,45845
river,45834
aunt,45834
patient,45828
kitchen,45812
aah,45774
fat,45737
passed,45678
